Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,CAIT,Total excluding LUCF,All GHG,11.96896,12.19849,11.41653,11.49815,11.53534,11.96991,12.9995,13.97098,14.78574,15.67203,13.88743,12.25096,14.88599,15.52653,15.31431,16.22606,16.74457,17.14245,20.53819,22.63253,27.1159,29.41306,28.80007,27.0152,26.76402,27.08607,26.894,26.52693,27.68958,28.6365
AFG,CAIT,Total including LUCF,All GHG,9.58045,9.809976,9.028016,9.109638,9.146831,9.581401,10.6109,11.58231,12.39724,13.28331,11.49931,12.37286,15.0079,15.64843,15.43621,16.34796,16.86647,17.26435,20.66009,22.75443,27.2378,29.16684,28.55385,26.76898,26.5178,26.83985,27.04866,26.68159,27.84424,28.79116
AFG,CAIT,Energy ,All GHG,2.614785,2.430223,1.544761,1.457698,1.366936,1.277973,1.213905,1.137336,1.080067,0.854298,0.839329,0.811481,1.099632,1.279783,1.089535,1.604386,2.033676,2.264666,4.277356,5.816246,8.265836,10.28994,9.62795,7.730256,6.831263,8.087269,7.42136,6.944151,8.228242,8.267433
AFG,CAIT,Industrial Processes ,All GHG,0.052709,0.05538,0.058051,0.061942,0.064613,0.067284,0.081484,0.095274,0.109064,0.122855,0.099465,0.101783,0.112275,0.117053,0.123053,0.125457,0.15455,0.177104,0.203857,0.224611,0.249415,0.314576,0.394037,0.465779,0.52399,0.601661,0.789337,0.910724,1.07556,1.209746
AFG,CAIT,Agriculture ,All GHG,8.072853,8.396465,8.409491,8.48648,8.523959,8.957016,9.977472,10.95273,11.75197,12.79124,10.986,9.282756,11.52684,11.89014,11.76986,12.07205,12.05455,12.12127,13.39995,13.85702,15.78838,15.90226,15.77779,15.72486,16.22045,15.11481,15.31792,15.22362,14.85428,15.54477
AFG,CAIT,Waste ,All GHG,1.228617,1.316422,1.404227,1.492032,1.579837,1.667642,1.72664,1.785639,1.844637,1.903635,1.962634,2.05494,2.147247,2.239554,2.331861,2.424168,2.501788,2.579409,2.657029,2.734649,2.81227,2.906281,3.000293,3.094305,3.188316,3.282328,3.365385,3.448441,3.531498,3.614555
AFG,CAIT,Land-Use Change and Forestry ,All GHG,-2.38851,-2.38851,-2.38851,-2.38851,-2.38851,-2.38851,-2.3886,-2.38867,-2.38849,-2.38872,-2.38812,0.121902,0.121902,0.121902,0.121902,0.121902,0.121902,0.121902,0.121902,0.121902,0.121902,-0.24622,-0.24622,-0.24622,-0.24622,-0.24622,0.154657,0.154657,0.154657,0.154657
AFG,CAIT,Bunker Fuels ,All GHG,0.0194,0.0195,0.0195,0.0195,0.0162,0.0162,0.0162,0.0162,0.0162,0.0163,0.0163,0.0163,0.0164,0.0262,0.0351,0.0374,0.036,0.0347,0.0324,0.0323,0.0321,0.032,0.0321,0.0323,0.0327,0.0324,0.0383,0.0403,0.0398,0.0398
AFG,CAIT,Total excluding LUCF,CO2,2.37897,2.23377,1.38777,1.34129,1.28989,1.24029,1.1757,1.0982,1.04,0.8133,0.76022,0.734838,1.03363,1.218707,1.034607,1.552011,1.76418,1.77141,3.56464,4.87797,7.10615,8.92859,8.07943,5.98705,4.87964,5.94669,5.30353,4.78288,6.06678,6.07523
AFG,CAIT,Total excluding LUCF,CH4,6.738543,7.021841,7.127302,7.21273,7.465759,7.827897,8.671811,9.396953,9.959927,10.78237,9.560366,8.347273,10.19537,10.50694,10.50032,10.73173,11.17595,11.61048,12.90492,13.38546,15.19611,15.5005,15.63209,15.82302,16.30003,15.9605,15.8294,15.61063,15.91289,16.37492
AFG,CAIT,Total excluding LUCF,N2O,2.844512,2.933268,2.889176,2.92918,2.762073,2.881434,3.117905,3.427953,3.724143,4.000904,3.477595,3.073604,3.555746,3.693638,3.666141,3.823075,3.662061,3.595067,3.88001,4.157354,4.578781,4.683989,4.723447,4.774904,5.088999,4.618401,5.047866,5.26748,4.691226,5.014932
AFG,CAIT,Total excluding LUCF,F-Gas,0.006939,0.00961,0.012281,0.014952,0.017623,0.020294,0.034084,0.047874,0.061664,0.075455,0.089245,0.095245,0.101245,0.107246,0.113246,0.119246,0.14237,0.165494,0.188617,0.211741,0.234865,0.299986,0.365107,0.430229,0.49535,0.560471,0.713207,0.865944,1.01868,1.171416
AFG,CAIT,Electricity/Heat ,All GHG,0.1699,0.167,0.1641,0.164,0.1638,0.1638,0.1635,0.164,0.1641,0.1616,0.1617,0.13,0.0987,0.1625,0.1713,0.186,0.1085,0.1048,0.0979,0.0501,0.0656,0.0653,0.0656,0.0816,0.0504,0.0509,0.0781,0.0784,0.1238,0.1242
AFG,CAIT,Building,All GHG,0.0805,0.0709,0.0322,0.0258,0.0193,0.0161,0.0128,0.0097,0.0097,0.0065,0.0006,0,0.0003,0.001,0.0419,0.0744,0.1036,0.0449,0.0709,0.298,0.1596,0.1144,0.083,0.0833,0.0547,0.0188,0.0361,0.1365,0.0447,0.0451
AFG,CAIT,Manufacturing/Construction ,All GHG,0.4124,0.3999,0.3723,0.36,0.3448,0.3307,0.3156,0.2903,0.2701,0.2499,0.2297,0.2146,0.5615,0.4768,0.2344,0.3388,0.3369,0.3172,0.5075,0.6026,0.8983,0.9357,0.9338,0.923,0.8981,0.8918,0.9295,0.919,0.9133,0.9254
AFG,CAIT,Transportation ,All GHG,1.6707,1.5503,0.7735,0.7445,0.7149,0.6827,0.6364,0.5868,0.5486,0.3479,0.3579,0.3837,0.3621,0.5687,0.5771,0.9466,1.203,1.293,2.8732,3.9146,5.9683,7.799,6.9685,4.8639,3.848,4.9442,4.184,3.6043,4.9283,4.9425
AFG,CAIT,Other Fuel Combustion ,All GHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,CAIT,Fugitive Emissions ,All GHG,0.281485,0.242123,0.202761,0.163398,0.124036,0.084673,0.085605,0.086536,0.087467,0.088398,0.089329,0.083181,0.077032,0.070883,0.064735,0.058586,0.281676,0.504766,0.727856,0.950946,1.174036,1.375543,1.57705,1.778556,1.980063,2.181569,2.19376,2.205951,2.218142,2.230333
AFG,CAIT,Energy ,CO2,2.3334,2.188,1.3421,1.2943,1.2428,1.1933,1.1283,1.0508,0.9925,0.7659,0.7499,0.7283,1.0226,1.209,1.0247,1.5458,1.752,1.7598,3.5494,4.8651,7.0916,8.914,8.0505,5.9516,4.851,5.9055,5.2275,4.7381,6.0099,6.037
AFG,CAIT,Electricity/Heat ,CO2,0.1699,0.167,0.1641,0.164,0.1638,0.1638,0.1635,0.164,0.1641,0.1616,0.1617,0.13,0.0987,0.1625,0.1713,0.186,0.1085,0.1048,0.0979,0.0501,0.0656,0.0653,0.0656,0.0816,0.0504,0.0509,0.0781,0.0784,0.1238,0.1242
AFG,CAIT,Building,CO2,0.0805,0.0709,0.0322,0.0258,0.0193,0.0161,0.0128,0.0097,0.0097,0.0065,0.0006,0,0.0003,0.001,0.0419,0.0744,0.1036,0.0449,0.0709,0.298,0.1596,0.1144,0.083,0.0833,0.0547,0.0188,0.0361,0.1365,0.0447,0.0451
AFG,CAIT,Manufacturing/Construction ,CO2,0.4124,0.3999,0.3723,0.36,0.3448,0.3307,0.3156,0.2903,0.2701,0.2499,0.2297,0.2146,0.5615,0.4768,0.2344,0.3388,0.3369,0.3172,0.5075,0.6026,0.8983,0.9357,0.9338,0.923,0.8981,0.8918,0.9295,0.919,0.9133,0.9254
AFG,CAIT,Transportation ,CO2,1.6706,1.5502,0.7735,0.7445,0.7149,0.6827,0.6364,0.5868,0.5486,0.3479,0.3579,0.3837,0.3621,0.5687,0.5771,0.9466,1.203,1.2929,2.8731,3.9144,5.9681,7.7986,6.9681,4.8637,3.8478,4.944,4.1838,3.6042,4.9281,4.9423
AFG,CAIT,Other Fuel Combustion ,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
